ｧ,xa
ﾓ,mo
ﾐ,mi
ﾐｨ,myi
ﾐｪ,mye
ﾐｬ,mya
ﾐｭ,myu
ﾐｮ,myo
ﾐｨ,mixi
ﾐｪ,mixe
ﾐｬ,mixya
ﾐｭ,mixyu
ﾐｮ,mixyo
ｬ,xya
ﾔ,ya
ｭ,xyu
ﾕ,yu
ｮ,xyo
ﾖ,yo
ﾗ,ra
ﾙ,ru
ﾚ,re
ﾛ,ro
ﾘ,ri
ﾘｨ,ryi
ﾘｪ,rye
ﾘｬ,rya
ﾘｭ,ryu
ﾘｮ,ryo
ﾘｨ,rixi
ﾘｪ,rixe
ﾘｬ,rixya
ﾘｭ,rixyu
ﾘｮ,rixyo
ﾜ,wa
ｦ,wo
ﾝ,n
ﾝ,nn
ｳﾞ,vu
ｳﾞｧ,va
ｳﾞｨ,vi
ｳﾞｪ,ve
ｳﾞｫ,vo
ｯ,:SMALL_TSU
ｯ,xtu
ｯ,xtsu
ﾜﾞ,va
ｦﾞ,vo
